55.0 52.02 74.53 10.4
55.0 52.03 94.19 11.6
55.0 52.03 99.06 11.2
55.0 51.97 119.69 11.6
55.0 52.00 94.32 10.8
55.0 51.99 103.85 11.1
55.0 52.00 103.59 11.0
55.0 51.97 108.66 11.0
55.0 52.08 70.75 10.3
55.0 52.05 108.77 10.8
55.0 52.12 74.69 10.6
55.0 52.24 54.97 11.2
55.0 52.23 94.51 10.4
55.0 52.24 89.64 10.2
55.0 52.32 59.69 9.7
55.0 52.30 94.63 10.0
55.0 52.29 90.76 9.5
55.0 52.23 108.01 10.1
55.0 52.17 117.09 9.7
55.0 52.28 55.05 10.2
55.0 52.31 79.94 9.8
55.0 52.31 81.66 9.3
55.0 52.33 84.88 9.7
55.0 52.40 54.82 9.7
55.0 52.39 82.33 9.3
55.0 52.38 86.06 9.4
55.0 52.35 96.18 9.3
55.0 52.37 75.66 9.3
55.0 52.37 82.15 9.3
55.0 52.39 71.38 9.3
55.0 52.51 45.35 9.0
55.0 52.49 83.23 9.1
55.0 52.50 76.31 8.9
55.0 52.54 61.64 9.1
55.0 52.55 80.31 8.7
55.0 52.54 78.16 8.6
55.0 52.48 99.40 8.7
55.0 52.47 85.11 8.6
55.0 52.50 66.81 8.8
55.0 52.44 101.77 8.7
55.0 52.46 76.07 8.8
55.0 52.47 76.15 8.6
55.0 52.51 65.92 8.8
55.0 52.49 83.23 9.1
55.0 52.53 66.02 8.7
55.0 52.58 61.02 8.6
55.0 52.61 62.24 8.4
55.0 52.65 61.38 8.5
55.0 52.68 62.80 8.2
55.0 52.77 45.76 8.2
55.0 52.75 74.51 8.0
55.0 52.78 62.01 7.8
55.0 52.75 82.72 7.8
55.0 52.73 74.34 7.8
55.0 52.76 61.92 7.6
55.0 52.77 63.65 7.4
55.0 52.76 80.64 7.8
55.0 52.75 69.02 7.7
55.0 52.78 58.17 7.5
55.0 52.78 72.48 7.6
55.0 52.79 67.31 7.5
55.0 52.83 56.99 7.7
55.0 52.87 47.81 7.3
55.0 52.92 52.17 7.3
55.0 52.90 73.10 7.0
55.0 52.95 42.91 7.0
55.0 52.96 62.94 7.3
55.0 52.98 57.77 7.7
55.0 53.00 57.87 6.9
55.0 53.00 60.10 6.9
55.0 53.19 -12.27 6.8
55.0 53.19 64.16 6.8
55.0 53.19 56.14 6.8
55.0 53.20 53.60 6.8
55.0 53.20 56.22 6.5
55.0 53.18 66.46 6.3
55.0 53.16 61.51 6.3
55.0 53.22 33.95 6.7
55.0 53.19 69.32 6.5
55.0 53.19 58.80 6.0
55.0 53.20 53.58 6.5
55.0 53.14 77.88 6.7
55.0 53.15 50.26 6.6
55.0 53.20 46.44 6.6
55.0 53.22 45.26 7.1
55.0 53.23 53.76 6.5
55.0 53.23 59.01 6.3
55.0 53.23 53.76 5.9
55.0 53.23 56.49 6.4
55.0 53.34 12.13 6.2
55.0 53.31 66.66 5.7
55.0 53.29 57.05 6.3
55.0 53.28 59.27 6.0
55.0 53.28 51.37 5.7
55.0 53.31 43.54 6.2
55.0 53.36 38.42 5.9
55.0 53.37 46.48 6.2
55.0 53.36 54.40 5.6
55.0 53.33 64.77 5.7
55.0 53.27 73.50 4.9
55.0 53.29 48.72 6.0
55.0 53.30 48.81 6.0
55.0 53.27 64.51 5.2
55.0 53.31 40.34 5.6
55.0 53.31 54.13 5.8
55.0 53.38 27.80 7.2
55.0 53.37 52.15 5.6
55.0 53.45 22.77 5.3
55.0 53.50 30.66 5.6
55.0 53.49 51.94 5.4
55.0 53.50 42.04 5.3
55.0 53.51 42.12 5.4
55.0 53.55 34.03 5.2
55.0 53.51 60.43 4.8
55.0 53.52 44.58 5.1
55.0 53.53 42.25 5.2
55.0 53.50 56.99 5.4
55.0 53.53 36.61 5.3
55.0 53.51 53.32 5.1
55.0 53.51 44.56 5.2
55.0 53.52 44.60 5.3
55.0 53.53 44.63 5.2
55.0 53.55 36.82 4.9
55.0 53.50 64.42 5.4
55.0 53.58 21.57 5.1
55.0 53.57 48.25 5.2
55.0 53.57 44.84 5.1
55.0 53.57 42.66 5.1
55.0 53.55 57.06 5.0
55.0 53.55 42.47 5.1
55.0 53.56 42.51 5.0
55.0 53.60 31.85 5.0
55.0 53.62 37.39 4.4
55.0 53.60 50.31 4.6
55.0 53.60 42.89 4.9
55.0 53.70 7.71 5.3
55.0 53.58 87.21 4.6
55.0 53.61 31.64 4.9
55.0 53.61 45.02 4.9
55.0 53.59 50.26 5.0
55.0 53.63 26.18 4.9
55.0 53.59 60.83 4.8
55.0 53.59 42.80 5.1
55.0 53.60 42.03 4.8
55.0 53.62 37.39 4.9
55.0 53.63 39.79 5.2
55.0 53.65 32.05 4.8
55.0 53.66 39.97 4.7
55.0 53.63 55.75 4.6
55.0 53.62 43.11 5.0
55.0 53.64 42.08 4.8
55.0 53.65 37.65 4.6
55.0 53.64 43.26 4.7
55.0 53.65 39.90 4.7
55.0 53.56 76.42 5.0
55.0 53.53 55.28 4.6
55.0 53.57 31.31 4.8
55.0 53.59 37.13 5.0
55.0 53.63 31.90 4.8
55.0 53.60 54.13 4.6
55.0 53.60 44.98 4.8
55.0 53.64 26.24 4.4
55.0 53.64 47.13 4.4
55.0 53.66 32.11 4.5
55.0 53.67 37.85 4.9
55.0 53.68 42.14 4.7
