55.0 55.11 3.17 2.3
55.0 55.01 32.33 2.1
55.0 54.99 8.82 2.1
55.0 54.94 21.89 2.1
55.0 54.82 47.42 2.3
55.0 54.84 -2.40 2.2
55.0 54.82 14.94 2.2
55.0 54.74 38.03 2.0
55.0 54.70 26.57 2.3
55.0 54.60 47.39 2.5
55.0 54.60 15.01 2.6
55.0 54.60 15.83 2.9
55.0 54.56 32.27 2.8
55.0 54.51 37.96 2.6
55.0 54.42 54.97 2.6
55.0 54.38 37.95 2.7
55.0 54.43 5.53 3.5
55.0 54.51 -8.34 3.0
55.0 54.48 32.65 2.9
55.0 54.48 20.76 3.3
55.0 54.47 20.76 2.8
55.0 54.43 38.58 2.9
55.0 54.42 26.51 3.0
55.0 54.35 49.27 2.6
55.0 54.35 26.49 3.0
55.0 54.35 29.01 2.9
55.0 54.27 54.94 3.3
55.0 54.23 43.61 3.0
55.0 54.18 50.71 3.6
55.0 54.17 37.90 3.3
55.0 54.10 60.95 3.8
55.0 54.03 60.53 3.7
55.0 53.97 61.43 4.1
55.0 53.96 45.45 4.3
55.0 53.97 37.86 4.5
55.0 53.93 56.27 4.1
55.0 53.94 40.15 3.8
55.0 53.91 54.87 4.5
55.0 53.86 61.87 4.6
55.0 53.84 54.85 4.7
55.0 53.80 63.86 5.2
55.0 53.76 60.47 5.0
55.0 53.63 99.50 5.1
55.0 53.60 68.21 5.3
55.0 53.60 54.80 5.8
55.0 53.56 73.66 5.8
55.0 53.50 77.19 6.0
55.0 53.47 76.48 6.4
55.0 53.52 37.76 6.3
55.0 53.49 71.61 6.5
55.0 53.47 68.72 6.2
55.0 53.43 79.44 6.6
55.0 53.43 63.59 6.9
55.0 53.43 60.39 6.8
55.0 53.43 63.57 6.9
55.0 53.35 95.42 7.0
55.0 53.30 82.70 7.4
55.0 53.30 69.38 7.5
55.0 53.26 85.34 7.3
55.0 53.21 90.77 7.6
55.0 53.18 82.67 7.6
55.0 53.15 82.67 7.7
